"# 文本key","文本value"
"Attitude_Source_Desc_6","<AttiSource>Misdeed</>"
"Attitude_Source_Desc_7","<AttiSource>Ignite</>"
"Attitude_Source_Desc_8","<AttiSource>Drunk</>"
"Attitude_Source_Desc_9","<AttiSource>Beg</>"
"Attitude_Source_Desc_10","<AttiSource>Poison</>"
"Attitude_Source_Desc_11","<AttiSource>Commission completed</>"
"Attitude_Source_Desc_12","<AttiSource>Commission unfinished</>"
"Attitude_Source_Desc_13","<AttiSource>Benefited from Exchange</>"
"Attitude_Source_Desc_14","<AttiSource>Loss in Exchange</>"
"Attitude_Source_Desc_15","<AttiSource>Qin Skill:Naive</>"
"Attitude_Source_Desc_16","<AttiSource>Qin Skill:Beginner</>"
"Attitude_Source_Desc_17","<AttiSource>Qin Skill:Gong</>"
"Attitude_Source_Desc_18","<AttiSource>Qin Skill:Shang</>"
"Attitude_Source_Desc_19","<AttiSource>Qin Skill:Jue</>"
"Attitude_Source_Desc_20","<AttiSource>Qin Skill:Zhi</>"
"Attitude_Source_Desc_21","<AttiSource>Legendary Gear</>"
"Attitude_Source_Desc_22","<AttiSource>Rags</>"
"Attitude_Source_Desc_23","<AttiSource>Beautiful Looks</>"
"Attitude_Source_Desc_24","<AttiSource>Ugly Looks</>"
"Attitude_Source_Desc_25","<AttiSource>Disabled</>"
"Attitude_Source_Desc_26","<AttiSource>Wealth</>"
"Attitude_Source_Desc_27","<AttiSource>Wealth</>"
"Attitude_Source_Desc_28","<AttiSource>Power</>"
"Attitude_Source_Desc_29","<AttiSource>Power</>"
"Attitude_Source_Desc_30","<AttiSource>Identity</>"
"Attitude_Source_Desc_31","<AttiSource>Identity</>"
"Attitude_Source_Desc_32","<AttiSource>Identity</>"
"Attitude_Source_Desc_33","<AttiSource>The foe of a foe is a friend</>"
"Attitude_Source_Desc_34","<AttiSource>The friend of a foe is a foe</>"
"Attitude_Source_Desc_35","<AttiSource>Stained:Justice</>"
"Attitude_Source_Desc_36","<AttiSource>Stained:Revenge</>"
"Attitude_Source_Desc_37","<AttiSource>Stained:Sinner</>"
"Attitude_Source_Desc_38","<AttiSource>Reputation</>"
"Attitude_Source_Desc_52","<AttiSource>Got something they like in Exchange</>"
"Attitude_Source_Desc_53","<AttiSource>Share likes</>"
"Attitude_Source_Desc_55","<AttiSource>Spar</>"
"Attitude_Source_Desc_56","<AttiSource>Received Skill</>"
"Attitude_Source_Desc_57","<AttiSource>Received Inner Kungfu</>"
"Attitude_Source_Desc_58","<AttiSource>Received Ability</>"
"Attitude_Source_Desc_59","<AttiSource>Unpleasant</>"
"Attitude_Source_Desc_60","<AttiSource>Unpleasant（Affection）</>"
"Attitude_Source_Desc_61","<AttiSource>Mighty murderous</>"
"Attitude_Source_Desc_62","<AttiSource>murderous look</>"
"Attitude_Source_Desc_63","<AttiSource>Strong murderous</>"
"Attitude_Source_Desc_SP_1","<AttiSource>Loveworm</>"
"Attitude_Source_Desc_SP_2","<AttiSource>Occupied bed</>"
"Attitude_Source_Desc_SP_3","<AttiSource>Betrayed the original sect</>"
"Attitude_Source_Desc_SP_4","<AttiSource>Bloody Feud</>"
"Attitude_Source_Desc_SP_5","<AttiSource>Bloodline</>"
"Attitude_Source_Desc_SP_6","<AttiSource>Intimacy</>"
"Attitude_Source_Desc_SP_7","<AttiSource>Dear Friends</>"
"Attitude_Source_Desc_SP_8","<AttiSource>Enmity</>"
"Attitude_Source_Desc_SP_9","<AttiSource>Unreserved mentorship</>"
"Attitude_Source_Desc_SP_10","<AttiSource>Taming Ability</>"
"Attitude_Source_Desc_SP_2000","<AttiSource>Exchange</>"
"Attitude_Source_Desc_SP_2001","<AttiSource>Cured Ailment</>"
"Attitude_Source_Desc_SP_2002","<AttiSource>Got blackmailed</>"
"Attitude_Source_Desc_SP_2003","<AttiSource>Shown mercy</>"
"Attitude_Source_Desc_SP_2004","<AttiSource>Got healed</>"
"Attitude_Source_Desc_SP_2005","<AttiSource>Got knocked out</>"
"Attitude_Source_Desc_SP_2006","<AttiSource>Got disabled</>"
"Attitude_Source_Desc_SP_2007","<AttiSource>Kungfu got destroyed</>"
"Attitude_Source_Desc_SP_2008","<AttiSource>Maltreated them</>"
"Attitude_Source_Desc_SP_2009","<AttiSource>Helped build</>"
"Attitude_Source_Desc_SP_2010","<AttiSource>Battle</>"
"Attitude_Source_Desc_SP_2011","<AttiSource>Invited for entertainment</>"
"Attitude_Source_Desc_SP_2012","<AttiSource>Shared a toast</>"
"Attitude_Source_Desc_SP_2013","<AttiSource>Bad example</>"
"Attitude_Source_Desc_SP_2014","<AttiSource>Cede</>"
"Attitude_Source_Desc_SP_2016","<AttiSource>Identity</>"
"Attitude_Source_Desc_SP_2017","<AttiSource>Cured their Pos Rel</>"
"Attitude_Source_Desc_SP_2018","<AttiSource>Cured their Neg Rel</>"
"Attitude_Source_Desc_SP_2019","<AttiSource>Spared their Pos Rel</>"
"Attitude_Source_Desc_SP_2020","<AttiSource>Spared their Neg Rel</>"
"Attitude_Source_Desc_SP_2021","<AttiSource>Taught Kungfu to their Pos Rel</>"
"Attitude_Source_Desc_SP_2022","<AttiSource>Taught Kungfu to their Neg Rel</>"
"Attitude_Source_Desc_SP_2023","<AttiSource>Crippled their Pos Rel</>"
"Attitude_Source_Desc_SP_2024","<AttiSource>Crippled their Neg Rel</>"
"Attitude_Source_Desc_SP_2025","<AttiSource>Deprived their Neg Rel's Kungfu</>"
"Attitude_Source_Desc_SP_2026","<AttiSource>Deprived their Pos Rel's Kungfu</>"
"Attitude_Source_Desc_SP_2027","<AttiSource>Took their Pos Rel's head</>"
"Attitude_Source_Desc_SP_2028","<AttiSource>Took their Neg Rel's head</>"
"Attitude_Source_Desc_SP_2029","<AttiSource>Looted their Pos Rel</>"
"Attitude_Source_Desc_SP_2030","<AttiSource>Looted their Neg Rel</>"
"Attitude_Source_Desc_SP_2031","<AttiSource>Looted</>"
"Attitude_Source_Desc_SP_2032","<AttiSource>Offer Money</>"
"Attitude_Source_Desc_SP_2033","<AttiSource>Offered money to their Pos Rel</>"
"Attitude_Source_Desc_SP_2034","<AttiSource>Offered money to their Neg Rel</>"
"Attitude_Source_Desc_SP_2035","<AttiSource>Wonders</>"
"Attitude_Source_Desc_SP_2038","<AttiSource>Auction</>"
"Attitude_Source_Desc_SP_2039","<AttiSource>Feed</>"
"Attitude_Source_Desc_SP_2040","<AttiSource>Little Enmity</>"
"Attitude_Source_Desc_SP_2041","<AttiSource>Grudge</>"
"Attitude_Source_Desc_SP_2042","<AttiSource>Feud</>"
"Attitude_Source_Desc_SP_2043","<AttiSource>Fellow Disciples</>"
"Attitude_Source_Desc_SP_2044","<AttiSource>Master and Retainer</>"
"Attitude_Source_Desc_SP_2045","<AttiSource>Challenge sect members</>"
"Attitude_Source_Desc_SP_2046","<AttiSource>Executed their Pos Rel</>"
"Attitude_Source_Desc_SP_2047","<AttiSource>Executed their Neg Rel</>"
"Attitude_Source_Desc_SP_2048","<AttiSource>Influence Diplomacy</>"
"Attitude_Source_Desc_SP_2049","<AttiSource>Salary Delay</>"
"Attitude_Source_Desc_SP_2050","<AttiSource>Captive wanted criminal</>"
"Attitude_Source_Desc_SP_3000","<AttiSource>Won Debate</>"
"Attitude_Source_Desc_SP_99998","<AttiSource>End Relation</>"
"Attitude_Source_Desc_SP_99999","<AttiSource>End Relation</>"
"none_attitude","Unacquainted"
"relation_murder_desc","Killed by {0}:{1}! !"
"relation_murder_died_dec","The murderer is dead! !"
"relation_query_position","Inquire Location"
"relation_mark_position","Mark Location"
"relation_delete_relation","End Relation"
"relation_free_monster","Release"
"relation_query_other_relation","View Relation"
"relation_call_back_anima","Summon"
"relation_employeemanagement","Manage Retainers"
"ability_name_210000","Technique"
"ability_name_210001","Surprise Move"
"ability_name_210002","Changeable Move"
"ability_name_210003","Omni Move"
"ability_name_210004","DEF Move"
"ability_name_210005","Qinggong"
"ability_name_210006","Forge"
"ability_name_210007","Geomancy"
"ability_name_210008","Wall Walking"
"ability_name_210009","Leechcraft"
"ability_name_210010","Weave"
"ability_name_210011","Crafting"
"ability_name_210012","Establishment"
"ability_name_210013","Tame"
"ability_name_210014","Cooking"
"ability_name_210015","Wine Art"
"ability_name_210016","Music"
"ability_name_210017","Chess Skill"
"ability_name_210018","Calligraphy"
"ability_name_210019","Painting"
"ability_name_210020","Poetry"
"ability_name_210021","Fly On Snow"
"ability_name_210022","Fly On Water"
"ability_name_210023","Transfiguration"
"ability_name_210024","Iron Bone"
"ability_name_210025","Palm Usage"
"ability_name_210026","Fist Usage"
"ability_name_210027","Kick Usage"
"ability_name_210028","Weapon Usage"
"ability_name_210029","Concealed Weapon Usage"
"ability_name_210030","Beg"
"ability_name_210031","Sneak"
"ability_name_210032","Basic Debate"
"ability_name_210033","Rethink"
"ability_name_210034","Empower Spirits"
"ability_name_210035","Contemplation"
"ability_name_210036","Open Mind"
"ability_level_0","Not acquired yet"
"ability_level_1","Beginner"
"ability_level_2","Expert"
"ability_level_3","Veteran"
"ability_level_4","Master"
"ability_level_5","Guru"
"ability_level_6","Sage"
"li_lian","Lineage"
"reset_li_lian","Reset Lineage"
"argument_collect","Verbal Duel Collection"
"level_up","Advance"
"level_up_cost","<AbDesc>「Advance」 costs {0} Lineage Points</>"
"exp_point_desc","<TipGreen>「Lineage」 </><TipGray>Acquiring an Ability will grant Lineage Points. </>\\n<TipGray>Lineage Points can be passed on to descendants. </>"
"ability_level_desc_0","Not acquired yet"
"ability_level_desc_1","Beginner"
"ability_level_desc_2","Expert"
"ability_level_desc_3","Veteran"
"ability_level_desc_4","Master"
"ability_level_desc_5","Guru"
"ability_level_desc_6","Sage"
"desc_ability_none_start","<NengLiJinJie>It hasn’t been acquired,unable to be advanced</>"
"desc_210000_fun_1","<AbDesc>「Omni Move」 Creates 1 Omni Move each turn</>"
"desc_210000_fun_2","<AbDesc>「Combo Move」 When connected with 4 same Moves,draws 1 same Move</>"
"desc_210000_fun_3","<AbDesc>「Changeable Move」 Creates 1 Changeable Move each turn</>"
"desc_210000_fun_4","<AbDesc>「Surprise Move」 When connected with more than 3 different Moves,draws 1 Move</>"
"desc_210000_fun_5","<AbDesc>「DEF Move」 Creates 1 DEF Move each turn</>"
"desc_210000_fun_6","<AbDesc>Enhances Omni Move,Combo Move,Changeable Move,Surprise Move,DEF Move</>"
"desc_210000_up_1","<NengLiJinJie>「To Begin」 Practice by chopping wood, mining, and gathering</>"
"desc_210000_up_2","<NengLiJinJie>「Become Expert」 Practice by chopping wood, mining, and gathering</>"
"desc_210000_up_3","<NengLiJinJie>「Become Veteran」 Practice by chopping wood, mining, and gathering</>"
"desc_210000_up_4","<NengLiJinJie>「Become Master」 Practice through meditation</>"
"desc_210000_up_5","<NengLiJinJie>「Become Guru」 Practice through battle</>"
"desc_210000_up_6","<NengLiJinJie>「Become Sage」 Practice with Training Room’s wooden dummy</>"
"desc_210005_fun_1","<AbDesc>Owns an extraordinary jumping ability</>"
"desc_210005_fun_2","<AbDesc>Enhances jumping and dodging ability, double jump</>"
"desc_210005_fun_3","<AbDesc>Hugely enhances jumping and dodging ability, triple jump</>"
"desc_210005_up_1","<NengLiJinJie>「To Begin」 Practice by running</>"
"desc_210005_up_2","<NengLiJinJie>「Become Expert」 Acquire at the Enlightenment Stone in Eagle Hunt Platform</>"
"desc_210005_up_3","<NengLiJinJie>「Become Veteran」 Acquire at the Enlightenment Stone in Mirror Lake Stonewoods</>"
"desc_210006_fun_1","<AbDesc>Can forge Crude Gear at the Furnace</>"
"desc_210006_fun_2","<AbDesc>Has a chance to forge Refined Gear</>"
"desc_210006_fun_3","<AbDesc>Chance of Refined Gear increased</>"
"desc_210006_fun_4","<AbDesc>Chance of Refined Gear increased</>"
"desc_210006_fun_5","<AbDesc>Produces Refined Gear or better</>"
"desc_210006_fun_6","<AbDesc>Has a chance to make Legendary Gear</>"
"desc_210006_up_1","<NengLiJinJie>「To Begin」 Seek counsel from the Smithy Manager</>"
"desc_210006_up_2","<NengLiJinJie>「Become Expert」 Craft Gear at the Furnace</>"
"desc_210006_up_3","<NengLiJinJie>「Become Veteran」 Craft Gear at the Furnace</>"
"desc_210006_up_4","<NengLiJinJie>「Become Master」 Craft Gear at the Furnace</>"
"desc_210006_up_5","<NengLiJinJie>「Become Guru」 Craft Gear at the Furnace</>"
"desc_210006_up_6","<NengLiJinJie>「Become Sage」 Said to be the secret lore of the 「Ou Family」</>"
"desc_210007_fun_1","<AbDesc>Proficient in contraptions and locks. Lockpick SPD +{0}%. You can steal items worth {1} total</>"
"desc_210007_fun_2","<AbDesc>Lockpick SPD +{0}%. You can steal items worth {1} total</>"
"desc_210007_fun_3","<AbDesc>Lockpick SPD +{0}%. You can steal items worth {1} total</>"
"desc_210007_fun_4","<AbDesc>Lockpick SPD +{0}%. You can steal items worth {1} total</>"
"desc_210007_fun_5","<AbDesc>Lockpick SPD +{0}%. You can steal items worth {1} total</>"
"desc_210007_fun_6","<AbDesc>Lockpick SPD +{0}%. You can steal items worth {1} total</>"
"desc_210007_up_1","<NengLiJinJie>「To Begin」 Train lockpicking and stealing</>"
"desc_210007_up_2","<NengLiJinJie>「Become Expert」 Train lockpicking and stealing</>"
"desc_210007_up_3","<NengLiJinJie>「Become Veteran」 Train lockpicking and stealing</>"
"desc_210007_up_4","<NengLiJinJie>「Become Master」 Train lockpicking and stealing</>"
"desc_210007_up_5","<NengLiJinJie>「Become Guru」 Train lockpicking and stealing</>"
"desc_210007_up_6","<NengLiJinJie>「Become Sage」 Said to be the secret lore of the 「Liu Family」</>"
"desc_210008_fun_1","<AbDesc>Owns the ability to climb cliffs</>"
"desc_210008_fun_2","<AbDesc>Increases climb SPD</>"
"desc_210008_fun_3","<AbDesc>Reduces Energy consumption during climbing</>"
"desc_210008_up_1","<NengLiJinJie>「To Begin」 Multiple jumping practices</>"
"desc_210008_up_2","<NengLiJinJie>「Become Expert」 Cliff climbing practice </>"
"desc_210008_up_3","<NengLiJinJie>「Become Veteran」 Said to be the secret lore of the 「Liu Family」</>"
"desc_210009_fun_1","<AbDesc>Unlock Potion Formula and acquire Golden Acupuncture</>"
"desc_210009_fun_2","<AbDesc>Unlock Potion Formula and acquire Golden Acupuncture</>"
"desc_210009_fun_3","<AbDesc>Unlock Potion Formula and acquire Golden Acupuncture</>"
"desc_210009_fun_4","<AbDesc>Unlock Potion Formula and acquire Golden Acupuncture</>"
"desc_210009_fun_5","<AbDesc>Unlock Potion Formula and acquire Golden Acupuncture</>"
"desc_210009_fun_6","<AbDesc>Unlock Potion Formula and acquire Golden Acupuncture</>"
"desc_210009_up_1","<NengLiJinJie>「To Begin」 Seek counsel from the Clinic Manager</>"
"desc_210009_up_2","<NengLiJinJie>「Become Expert」 Make potions at the Crucible</>"
"desc_210009_up_3","<NengLiJinJie>「Become Veteran」 Make potions at the Crucible</>"
"desc_210009_up_4","<NengLiJinJie>「Become Master」 Make potions at the Crucible</>"
"desc_210009_up_5","<NengLiJinJie>「Become Guru」 Make potions at the Crucible</>"
"desc_210009_up_6","<NengLiJinJie>「Become Sage」 Said to be the secret lore of the 「Ji Family」</>"
"desc_210010_fun_1","<AbDesc>Can make Crude Gear at the Loom</>"
"desc_210010_fun_2","<AbDesc>Has a chance to make Refined Gear</>"
"desc_210010_fun_3","<AbDesc>Chance of Refined Gear increased</>"
"desc_210010_fun_4","<AbDesc>Chance of Refined Gear increased</>"
"desc_210010_fun_5","<AbDesc>Produces Refined Gear or better</>"
"desc_210010_fun_6","<AbDesc>Has a chance to make Legendary Gear</>"
"desc_210010_up_1","<NengLiJinJie>「To Begin」 Seek counsel from the Fabric Shop Manager</>"
"desc_210010_up_2","<NengLiJinJie>「Become Expert」 Craft Gear at the Loom</>"
"desc_210010_up_3","<NengLiJinJie>「Become Veteran」 Craft Gear at the Loom</>"
"desc_210010_up_4","<NengLiJinJie>「Become Master」 Craft Gear at the Loom</>"
"desc_210010_up_5","<NengLiJinJie>「Become Guru」 Craft Gear at the Loom</>"
"desc_210010_up_6","<NengLiJinJie>「Become Sage」 Said to be the secret lore of the 「Hu Family」</>"
"desc_210011_fun_1","<AbDesc>Unlocks Contraption Formulas</>"
"desc_210011_fun_2","<AbDesc>Unlocks Contraption Formulas</>"
"desc_210011_fun_3","<AbDesc>Unlocks Contraption Formulas</>"
"desc_210011_fun_4","<AbDesc>Unlocks Contraption Formulas</>"
"desc_210011_fun_5","<AbDesc>Unlocks Contraption Formulas</>"
"desc_210011_fun_6","<AbDesc>Unlocks Contraption Formulas</>"
"desc_210011_up_1","<NengLiJinJie>「To Begin」 Craft Minor Items in Backpack</>"
"desc_210011_up_2","<NengLiJinJie>「Become Expert」 Craft Items</>"
"desc_210011_up_3","<NengLiJinJie>「Become Veteran」 Craft Items</>"
"desc_210011_up_4","<NengLiJinJie>「Become Master」 Craft Items</>"
"desc_210011_up_5","<NengLiJinJie>「Become Guru」 Craft Items</>"
"desc_210011_up_6","<NengLiJinJie>「Become Sage」 Said to be the secret lore of the 「Mo Family」</>"
"desc_210011_0","<AbDesc>Under development. Stay tuned! </>"
"desc_210011_0_lilian","<AbDesc>Under development. Stay tuned! </>"
"desc_210012_fun_1","<AbDesc>Allows free establishment of any building and unlocks Building module.</>"
"desc_210012_fun_2","<AbDesc>Unlocks more advanced Building module</>"
"desc_210012_fun_3","<AbDesc>Unlocks more advanced Building module</>"
"desc_210012_fun_4","<AbDesc>Unlocks more advanced Building module</>"
"desc_210012_fun_5","<AbDesc>Unlocks more advanced Building module</>"
"desc_210012_fun_6","<AbDesc>Unlocks more advanced Building module</>"
"desc_210012_up_1","<NengLiJinJie>「To Begin」 Build corresponding buildings</>"
"desc_210012_up_2","<NengLiJinJie>「Become Expert」 Build corresponding buildings</>"
"desc_210012_up_3","<NengLiJinJie>「Become Veteran」 Build corresponding buildings</>"
"desc_210012_up_4","<NengLiJinJie>「Become Master」 Build corresponding buildings</>"
"desc_210012_up_5","<NengLiJinJie>「Become Guru」 Build corresponding buildings</>"
"desc_210012_up_6","<NengLiJinJie>「Become Sage」 Said to be the secret lore of the 「Gongshu Family」</>"
"desc_210013_fun_1","Fainted animals can be Tamed\\n<TDName>[「Horses」</> can be ridden or harnessed to a carriage]\\n<TDName>[「Eagles」</> can enter Hawk Eye mode and help track targets]\\n<TDName>[「Monkeys」</> can beg and deliver resources]\\n<TDName>[「Snakes」</> can pick locks and use poison]\\n<TDName>[「Martens」</> can help find treasure]\\n<TDName>[「Chickens」</> can lay eggs]"
"desc_210013_up_1","<NengLiJinJie>「To Begin」 Make a simple trap or apprentice with the Stable Manager</>"
"desc_210014_fun_1","<AbDesc>Unlocks Food Formulas</>"
"desc_210014_fun_2","<AbDesc>Unlocks Food Formulas</>"
"desc_210014_fun_3","<AbDesc>Unlocks Food Formulas</>"
"desc_210014_fun_4","<AbDesc>Unlocks Food Formulas</>"
"desc_210014_fun_5","<AbDesc>Unlocks Food Formulas</>"
"desc_210014_fun_6","<AbDesc>Unlocks Food Formulas</>"
"desc_210014_up_1","<NengLiJinJie>「To Begin」 Practice by cooking at the Bonfire</>"
"desc_210014_up_2","<NengLiJinJie>「Become Expert」 Practice cooking at the Bonfire</>"
"desc_210014_up_3","<NengLiJinJie>「Become Veteran」 Practice cooking at the Bonfire</>"
"desc_210014_up_4","<NengLiJinJie>「Become Master」 Practice cooking at the Bonfire</>"
"desc_210014_up_5","<NengLiJinJie>「Become Guru」 Practice cooking at the Bonfire</>"
"desc_210014_up_6","<NengLiJinJie>「Become Sage」 Practice cooking at the Bonfire</>"
"desc_210015_fun_1","<AbDesc>Increases alcohol tolerance</>"
"desc_210015_fun_2","<AbDesc>Increases alcohol tolerance and resistance to Drunk</>"
"desc_210015_fun_3","<AbDesc>Increases alcohol tolerance and basic Drunk</>"
"desc_210015_up_1","<NengLiJinJie>「To Begin」 Practice by making Wine Jars</>"
"desc_210015_up_2","<NengLiJinJie>「Become Expert」 Practice by drinking</>"
"desc_210015_up_3","<NengLiJinJie>「Become Veteran」 Have 50 stacks of Drunk</>"
"desc_210016_fun_1","<AbDesc>Playing grants Music EXP</>"
"desc_210016_fun_2","<AbDesc>Playing grants Music EXP, unlocking more advanced scores</>"
"desc_210016_fun_3","<AbDesc>Playing grants Music EXP, unlocking more advanced scores</>"
"desc_210016_fun_4","<AbDesc>Playing grants Music EXP, unlocking more advanced scores</>"
"desc_210016_fun_5","<AbDesc>Playing grants Music EXP, unlocking more advanced scores</>"
"desc_210016_fun_6","<AbDesc>Sage in Music. </>"
"desc_210016_up_1","<NengLiJinJie>「To Begin」 Practice by playing Zheng at the Music House</>"
"desc_210016_up_2","<NengLiJinJie>「Become Expert」 Practice by playing Zheng at the Music House</>"
"desc_210016_up_3","<NengLiJinJie>「Become Veteran」 Practice by playing Zheng at the Music House</>"
"desc_210016_up_4","<NengLiJinJie>「Become Master」 Practice by playing Zheng at the Music House</>"
"desc_210016_up_5","<NengLiJinJie>「Become Guru」 Practice by playing Zheng at the Music House</>"
"desc_210016_up_6","<NengLiJinJie>「Become Sage」 Said to be the secret lore of the 「Shi Family」</>"
"desc_210017_fun_1","<AbDesc>Chess Skill</>"
"desc_210017_up_1","<NengLiJinJie>「How to Begin」 Under development</>"
"desc_210018_fun_1","<AbDesc>Calligraphy</>"
"desc_210018_up_1","<NengLiJinJie>「How to Begin」 Under development</>"
"desc_210019_fun_1","<AbDesc>Painting</>"
"desc_210019_up_1","<NengLiJinJie>「How to Begin」 Under development</>"
"desc_210020_fun_1","<AbDesc>Poetry</>"
"desc_210020_up_1","<NengLiJinJie>「How to Begin」 Under development</>"
"desc_210021_fun_1","<AbDesc>Increases Load</>"
"desc_210021_up_1","<NengLiJinJie>「To Begin」 Move with Max Load</>"
"desc_210022_fun_1","<AbDesc>Reduces Energy consumption for Qinggong</>"
"desc_210022_up_1","<NengLiJinJie>「To Begin」 Jumping practice on water</>"
"desc_210023_fun_1","<AbDesc>Can use face changing masks</>"
"desc_210023_fun_2","<AbDesc>Can manufacture rough and easy to look molds</>"
"desc_210023_fun_3","<AbDesc>Increase the duration of the disfigurement state by 1 day</>"
"desc_210023_fun_4","<AbDesc>Can manufacture refined cosmetic molds</>"
"desc_210023_fun_5","<AbDesc>At the same time as changing faces, one's body shape will also change to that of the other person</>"
"desc_210023_fun_6","<AbDesc>Will not be suspected by NPC</>"
"desc_210023_up_1","<NengLiJinJie>「Getting started」Learned through reading the essence of facial contouring</>"
"desc_210023_up_2","<NengLiJinJie>「Advanced proficiency」Advancing to others through disguise</>"
"desc_210023_up_3","<NengLiJinJie>「Advanced Xiaocheng」Advancing to others through disguise</>"
"desc_210023_up_4","<NengLiJinJie>「Advanced Mastery」Advancing to others through disguise</>"
"desc_210023_up_5","<NengLiJinJie>「Advanced Dacheng」Advancing to others through disguise</>"
"desc_210023_up_6","<NengLiJinJie>「Advanced Perfection」Obtain advanced reading of the ever-changing gentleman's secret book</>"
"desc_210024_fun_1","<AbDesc>Max Vigor {0}</>"
"desc_210024_fun_2","<AbDesc>Max Vigor {0}</>"
"desc_210024_fun_3","<AbDesc>Resistance to Move DMG {0}</>"
"desc_210024_fun_4","<AbDesc>Max Vigor {0}</>"
"desc_210024_fun_5","<AbDesc>Max Vigor {0}</>"
"desc_210024_fun_6","<AbDesc>Resistance to Move DMG {0}</>"
"desc_210024_up_1","<NengLiJinJie>「To Begin」 Punch resistance practice</>"
"desc_210024_up_2","<NengLiJinJie>「Become Expert」 Punch resistance practice</>"
"desc_210024_up_3","<NengLiJinJie>「Become Veteran」 Punch resistance practice</>"
"desc_210024_up_4","<NengLiJinJie>「Become Master」 Punch resistance practice</>"
"desc_210024_up_5","<NengLiJinJie>「Become Guru」 Punch resistance practice</>"
"desc_210024_up_6","<NengLiJinJie>「Become Sage」 Punch resistance practice</>"
"desc_210025_fun_1","<AbDesc>Palm ATK {0}</>"
"desc_210025_fun_2","<AbDesc>Palm ATK {0}</>"
"desc_210025_fun_3","<AbDesc>Palm ATK {0}</>"
"desc_210025_fun_4","<AbDesc>Palm ATK {0}</>"
"desc_210025_fun_5","<AbDesc>Palm ATK {0}</>"
"desc_210025_fun_6","<AbDesc>Palm ATK {0}</>"
"desc_210025_up_1","<NengLiJinJie>「To Begin」 Use Palm Moves in battle</>"
"desc_210025_up_2","<NengLiJinJie>「Become Expert」 Use Palm Moves in battle</>"
"desc_210025_up_3","<NengLiJinJie>「Become Veteran」 Use Palm Moves in battle</>"
"desc_210025_up_4","<NengLiJinJie>「Become Master」 Use Palm Moves in battle</>"
"desc_210025_up_5","<NengLiJinJie>「Become Guru」 Use Palm Moves in battle</>"
"desc_210025_up_6","<NengLiJinJie>「Become Sage」 Use Palm Moves in battle</>"
"desc_210026_fun_1","<AbDesc>Fist ATK {0}</>"
"desc_210026_fun_2","<AbDesc>Fist ATK {0}</>"
"desc_210026_fun_3","<AbDesc>Fist ATK {0}</>"
"desc_210026_fun_4","<AbDesc>Fist ATK {0}</>"
"desc_210026_fun_5","<AbDesc>Fist ATK {0}</>"
"desc_210026_fun_6","<AbDesc>Fist ATK {0}</>"
"desc_210026_up_1","<NengLiJinJie>「To Begin」 Use Fist Moves</>"
"desc_210026_up_2","<NengLiJinJie>「Become Expert」 Use Fist Moves</>"
"desc_210026_up_3","<NengLiJinJie>「Become Veteran」 Use Fist Moves</>"
"desc_210026_up_4","<NengLiJinJie>「Become Master」 Use Fist Moves</>"
"desc_210026_up_5","<NengLiJinJie>「Become Guru」 Use Fist Moves</>"
"desc_210026_up_6","<NengLiJinJie>「Become Sage」 Use Fist Moves</>"
"desc_210027_fun_1","<AbDesc>Kick ATK {0}</>"
"desc_210027_fun_2","<AbDesc>Kick ATK {0}</>"
"desc_210027_fun_3","<AbDesc>Kick ATK {0}</>"
"desc_210027_fun_4","<AbDesc>Kick ATK {0}</>"
"desc_210027_fun_5","<AbDesc>Kick ATK {0}</>"
"desc_210027_fun_6","<AbDesc>Kick ATK {0}</>"
"desc_210027_up_1","<NengLiJinJie>「To Begin」 Use Kick Moves</>"
"desc_210027_up_2","<NengLiJinJie>「Become Expert」 Use Kick Moves</>"
"desc_210027_up_3","<NengLiJinJie>「Become Veteran」 Use Kick Moves</>"
"desc_210027_up_4","<NengLiJinJie>「Become Master」 Use Kick Moves</>"
"desc_210027_up_5","<NengLiJinJie>「Become Guru」 Use Kick Moves</>"
"desc_210027_up_6","<NengLiJinJie>「Become Sage」 Use Kick Moves</>"
"desc_210028_fun_1","<AbDesc>Weapon ATK {0}</>"
"desc_210028_fun_2","<AbDesc>Weapon ATK {0}</>"
"desc_210028_fun_3","<AbDesc>Weapon ATK {0}</>"
"desc_210028_fun_4","<AbDesc>Weapon ATK {0}</>"
"desc_210028_fun_5","<AbDesc>Weapon ATK {0}</>"
"desc_210028_fun_6","<AbDesc>Weapon ATK {0}</>"
"desc_210028_up_1","<NengLiJinJie>「To Begin」 Use Weapon Moves</>"
"desc_210028_up_2","<NengLiJinJie>「Become Expert」 Use Weapon Moves</>"
"desc_210028_up_3","<NengLiJinJie>「Become Veteran」 Use Weapon Moves</>"
"desc_210028_up_4","<NengLiJinJie>「Become Master」 Use Weapon Moves</>"
"desc_210028_up_5","<NengLiJinJie>「Become Guru」 Use Weapon Moves</>"
"desc_210028_up_6","<NengLiJinJie>「Become Sage」 Use Weapon Moves</>"
"desc_210029_fun_1","<AbDesc>Concealed Weapon ATK {0}</>"
"desc_210029_fun_2","<AbDesc>Concealed Weapon ATK {0}</>"
"desc_210029_fun_3","<AbDesc>Concealed Weapon ATK {0}</>"
"desc_210029_fun_4","<AbDesc>Concealed Weapon ATK {0}</>"
"desc_210029_fun_5","<AbDesc>Concealed Weapon ATK {0}</>"
"desc_210029_fun_6","<AbDesc>Concealed Weapon ATK {0}</>"
